Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Fruits,11494,crops,10 Wheeler Dump Truck,12091
Vegetables,2584,crops,Large Pickup Truck,3360
Chickens,10665,livestock,10 wheeler Livestock Truck,12304
Milk,3339,perishable goods,Medium Refrigerated Truck,4353
Eggs,3137,perishable goods,Medium Refrigerated Truck,4165
Vegetables,9707,crops,10 Wheeler Cargo Truck,10116
Chickens,9639,livestock,10 wheeler Livestock Truck,10449
Pigs,514,livestock,Small Livestock Truck,2096
Fruits,6697,crops,Dropside Truck,8051
Cows,9220,livestock,10 wheeler Livestock Truck,10912
Corn,10522,crops,10 Wheeler Cargo Truck,12243
Chickens,1724,livestock,Medium Livestock Truck,3628
Meat,9516,perishable goods,10 wheeler Reefer Truck,9777
Vegetables,2929,crops,Large Pickup Truck,4921
Cows,10930,livestock,10 wheeler Livestock Truck,12057
Vegetables,1976,crops,Large Pickup Truck,2718
Frozen Fish,3944,perishable goods,Medium Refrigerated Truck,5064
Corn,13624,crops,10 Wheeler Dump Truck,14962
Pigs,9185,livestock,10 wheeler Livestock Truck,10634
Eggs,9926,perishable goods,10 wheeler Reefer Truck,11329
Goats,8852,livestock,10 wheeler Livestock Truck,10456
Milk,4034,perishable goods,Medium Refrigerated Truck,5629
Rice,3656,crops,Heavy Duty Pickup Truck,4973
Leafy Greens,11117,perishable goods,10 wheeler Reefer Truck,11733
Rice,13270,crops,10 Wheeler Dump Truck,15059
Chickens,8659,livestock,10 wheeler Livestock Truck,9078
Cows,3535,livestock,Large Livestock Truck,3971
Chickens,8558,livestock,10 wheeler Livestock Truck,9399
Meat,11677,perishable goods,10 wheeler Reefer Truck,12836
Cows,8959,livestock,10 wheeler Livestock Truck,10913
Fruits,3555,crops,Heavy Duty Pickup Truck,4985
Fresh Vegetables,4197,perishable goods,Medium Refrigerated Truck,4840
Leafy Greens,11382,perishable goods,10 wheeler Reefer Truck,12113
Pigs,8365,livestock,10 wheeler Livestock Truck,10031
Corn,12484,crops,10 Wheeler Dump Truck,13074
Meat,9214,perishable goods,10 wheeler Reefer Truck,9438
Frozen Fish,2066,perishable goods,Small Refrigerated Truck,2961
Fruits,12070,crops,10 Wheeler Dump Truck,12225
Vegetables,3267,crops,Large Pickup Truck,3388
Cows,8015,livestock,10 wheeler Livestock Truck,9460
Vegetables,4644,crops,Dropside Truck,5526
Chickens,7348,livestock,10 wheeler Livestock Truck,9138
Leafy Greens,8014,perishable goods,Large Refrigerated Truck,9249
Meat,6292,perishable goods,Large Refrigerated Truck,8196
Vegetables,6209,crops,Dropside Truck,7264
Cows,10973,livestock,10 wheeler Livestock Truck,12883
Rice,5805,crops,Dropside Truck,7033
Frozen Fish,10171,perishable goods,10 wheeler Reefer Truck,11651
Cows,5606,livestock,Large Livestock Truck,6099
Corn,3047,crops,Elf Truck,3445
Fruits,12150,crops,10 Wheeler Dump Truck,12867
Frozen Fish,7592,perishable goods,Large Refrigerated Truck,7976
Chickens,202,livestock,Small Livestock Truck,966
Frozen Fish,11683,perishable goods,10 wheeler Reefer Truck,13257
Leafy Greens,4593,perishable goods,Medium Refrigerated Truck,5927
Goats,4421,livestock,Large Livestock Truck,5385
Fruits,155,crops,Motorcyle with Box,1895
Fruits,7339,crops,Dropside Truck,9189
Rice,3769,crops,Heavy Duty Pickup Truck,5357
Pigs,10128,livestock,10 wheeler Livestock Truck,10693
Milk,8970,perishable goods,Large Refrigerated Truck,10391
Rice,1463,crops,Elf Truck,2379
Corn,2573,crops,Large Pickup Truck,3185
Eggs,10907,perishable goods,10 wheeler Reefer Truck,11307
Leafy Greens,10975,perishable goods,10 wheeler Reefer Truck,12264
Fruits,6490,crops,Dropside Truck,7178
Fruits,1288,crops,Large Delivery Van,2049
Fruits,14384,crops,10 Wheeler Dump Truck,16192
Meat,442,perishable goods,Small Refrigerated Van,1307
Meat,7416,perishable goods,Large Refrigerated Truck,9369
Fresh Vegetables,3681,perishable goods,Medium Refrigerated Truck,4925
Pigs,11934,livestock,10 wheeler Livestock Truck,12415
Chickens,3969,livestock,Large Livestock Truck,5542
Vegetables,4227,crops,Heavy Duty Pickup Truck,4999
Fruits,6177,crops,Dropside Truck,8099
Pigs,4930,livestock,Large Livestock Truck,6831
Eggs,2502,perishable goods,Small Refrigerated Truck,3959
Fresh Vegetables,9338,perishable goods,10 wheeler Reefer Truck,11304
Fruits,14184,crops,10 Wheeler Dump Truck,15463
Vegetables,13045,crops,10 Wheeler Dump Truck,14038
Meat,6355,perishable goods,Large Refrigerated Truck,7175
Meat,7693,perishable goods,Large Refrigerated Truck,7837
Fresh Vegetables,10554,perishable goods,10 wheeler Reefer Truck,11986
Goats,3603,livestock,Large Livestock Truck,5283
Meat,6857,perishable goods,Large Refrigerated Truck,7051
Goats,4950,livestock,Large Livestock Truck,6585
Corn,3372,crops,Large Pickup Truck,5005
Cows,7520,livestock,10 wheeler Livestock Truck,8199
Goats,3087,livestock,Large Livestock Truck,4182
Cows,4584,livestock,Large Livestock Truck,4807
Milk,894,perishable goods,Medium Refrigerated Van,1542
Rice,9944,crops,10 Wheeler Cargo Truck,10585
Chickens,1568,livestock,Medium Livestock Truck,2080
Pigs,8689,livestock,10 wheeler Livestock Truck,10065
Leafy Greens,10825,perishable goods,10 wheeler Reefer Truck,11521
Corn,3917,crops,Heavy Duty Pickup Truck,5346
Milk,3012,perishable goods,Medium Refrigerated Truck,3716
Meat,9520,perishable goods,10 wheeler Reefer Truck,10916
Fruits,9141,crops,10 Wheeler Cargo Truck,10141
Goats,11550,livestock,10 wheeler Livestock Truck,11653
Rice,5500,crops,Dropside Truck,6886
Meat,7802,perishable goods,Large Refrigerated Truck,8646
Chickens,7173,livestock,10 wheeler Livestock Truck,8381
Eggs,4701,perishable goods,Medium Refrigerated Truck,5070
Leafy Greens,1264,perishable goods,Large Refrigerated Van,3205
Meat,10125,perishable goods,10 wheeler Reefer Truck,11703
Goats,5356,livestock,Large Livestock Truck,7319
Goats,3570,livestock,Large Livestock Truck,5442
Frozen Fish,6791,perishable goods,Large Refrigerated Truck,8777
Chickens,3901,livestock,Large Livestock Truck,4875
Chickens,5605,livestock,Large Livestock Truck,5833
Rice,2007,crops,Large Pickup Truck,3258
Corn,11132,crops,10 Wheeler Cargo Truck,11816
Fresh Vegetables,572,perishable goods,Small Refrigerated Van,1750
Leafy Greens,1401,perishable goods,Large Refrigerated Van,2486
Pigs,4592,livestock,Large Livestock Truck,5440
Milk,900,perishable goods,Medium Refrigerated Van,1827
Goats,1273,livestock,Small Livestock Truck,2784
Pigs,2650,livestock,Medium Livestock Truck,4472
Cows,8179,livestock,10 wheeler Livestock Truck,9185
Milk,8018,perishable goods,Large Refrigerated Truck,8785
Leafy Greens,7531,perishable goods,Large Refrigerated Truck,9412
Eggs,3457,perishable goods,Medium Refrigerated Truck,4884
Leafy Greens,6375,perishable goods,Large Refrigerated Truck,6878
Meat,5066,perishable goods,Large Refrigerated Truck,6944
Fruits,9510,crops,10 Wheeler Cargo Truck,10553
Frozen Fish,9448,perishable goods,10 wheeler Reefer Truck,10837
Fruits,2268,crops,Large Pickup Truck,4168
Frozen Fish,11625,perishable goods,10 wheeler Reefer Truck,12817
Pigs,11261,livestock,10 wheeler Livestock Truck,12721
Chickens,3308,livestock,Large Livestock Truck,5035
Meat,6079,perishable goods,Large Refrigerated Truck,7251
Milk,4227,perishable goods,Medium Refrigerated Truck,6176
Goats,7602,livestock,10 wheeler Livestock Truck,8489
Rice,14301,crops,10 Wheeler Dump Truck,14556
Rice,9762,crops,10 Wheeler Cargo Truck,11126
Corn,1536,crops,Elf Truck,1896
Chickens,8178,livestock,10 wheeler Livestock Truck,8859
Fruits,5819,crops,Dropside Truck,6971
Rice,2324,crops,Elf Truck,3494
Vegetables,11150,crops,10 Wheeler Dump Truck,12726
Leafy Greens,5041,perishable goods,Large Refrigerated Truck,5982
Corn,9180,crops,10 Wheeler Cargo Truck,9782
Milk,11819,perishable goods,10 wheeler Reefer Truck,12325
Milk,11800,perishable goods,10 wheeler Reefer Truck,12550
Leafy Greens,2389,perishable goods,Small Refrigerated Truck,3512
Eggs,2562,perishable goods,Small Refrigerated Truck,4058
Rice,6880,crops,Dropside Truck,8567
Corn,10116,crops,10 Wheeler Cargo Truck,10432
Eggs,4795,perishable goods,Medium Refrigerated Truck,5539
Vegetables,2540,crops,Elf Truck,4286
Meat,2373,perishable goods,Small Refrigerated Truck,3153
Goats,11504,livestock,10 wheeler Livestock Truck,12165
Chickens,10290,livestock,10 wheeler Livestock Truck,10439
Eggs,11602,perishable goods,10 wheeler Reefer Truck,12450
Frozen Fish,4109,perishable goods,Medium Refrigerated Truck,5380
Eggs,4759,perishable goods,Medium Refrigerated Truck,6271
Goats,4144,livestock,Large Livestock Truck,5035
Leafy Greens,9328,perishable goods,10 wheeler Reefer Truck,10739
Meat,7657,perishable goods,Large Refrigerated Truck,8763
Fruits,958,crops,Small Pickup Truck,1455
Fruits,2966,crops,Large Pickup Truck,3421
Frozen Fish,7259,perishable goods,Large Refrigerated Truck,7452
Chickens,923,livestock,Small Livestock Truck,2786
Milk,4857,perishable goods,Medium Refrigerated Truck,6045
Eggs,10887,perishable goods,10 wheeler Reefer Truck,12602
Pigs,3079,livestock,Large Livestock Truck,4492
Rice,8009,crops,Dropside Truck,8827
Meat,9167,perishable goods,10 wheeler Reefer Truck,10965
Goats,2184,livestock,Medium Livestock Truck,3212
Vegetables,9743,crops,10 Wheeler Cargo Truck,11743
Chickens,2702,livestock,Medium Livestock Truck,2940
Corn,8273,crops,10 Wheeler Cargo Truck,9037
Fruits,5340,crops,Dropside Truck,5764
Vegetables,10519,crops,10 Wheeler Cargo Truck,11476
Cows,10143,livestock,10 wheeler Livestock Truck,11991
Corn,10864,crops,10 Wheeler Cargo Truck,11280
Frozen Fish,1547,perishable goods,Small Refrigerated Truck,2318
Eggs,3942,perishable goods,Medium Refrigerated Truck,4746
Milk,2201,perishable goods,Small Refrigerated Truck,3403
Goats,1444,livestock,Small Livestock Truck,2935
Cows,7005,livestock,10 wheeler Livestock Truck,8352
Chickens,8569,livestock,10 wheeler Livestock Truck,9357
Eggs,11449,perishable goods,10 wheeler Reefer Truck,11859
Rice,93,crops,Motorcyle with Box,1692
Corn,8968,crops,10 Wheeler Cargo Truck,10653
Milk,11361,perishable goods,10 wheeler Reefer Truck,12618
Goats,7809,livestock,10 wheeler Livestock Truck,9741
Goats,545,livestock,Small Livestock Truck,1116
Chickens,2248,livestock,Medium Livestock Truck,3216
Vegetables,2147,crops,Elf Truck,3889
Rice,751,crops,Small Multicab,1975
Fruits,3967,crops,Heavy Duty Pickup Truck,5233
Corn,3504,crops,Heavy Duty Pickup Truck,4549
Chickens,5256,livestock,Large Livestock Truck,5601
Goats,3637,livestock,Large Livestock Truck,4164
Rice,3310,crops,Large Pickup Truck,5292
Goats,1189,livestock,Small Livestock Truck,3003
Frozen Fish,10754,perishable goods,10 wheeler Reefer Truck,11648
Frozen Fish,8378,perishable goods,Large Refrigerated Truck,9143
Fruits,4432,crops,Heavy Duty Pickup Truck,6303
Fresh Vegetables,1860,perishable goods,Small Refrigerated Truck,2438
Corn,12863,crops,10 Wheeler Dump Truck,13619
Pigs,8439,livestock,10 wheeler Livestock Truck,10065
Vegetables,3217,crops,Large Pickup Truck,4570
Frozen Fish,2545,perishable goods,Small Refrigerated Truck,3257
Rice,6650,crops,Dropside Truck,7481
Corn,4131,crops,Heavy Duty Pickup Truck,5590
Fruits,4069,crops,Heavy Duty Pickup Truck,4630
Cows,11760,livestock,10 wheeler Livestock Truck,13521
Chickens,1861,livestock,Medium Livestock Truck,3722
Frozen Fish,1007,perishable goods,Medium Refrigerated Van,2688
Pigs,4550,livestock,Large Livestock Truck,6420
Milk,5454,perishable goods,Large Refrigerated Truck,7375
Vegetables,370,crops,Tricycle,1188
Corn,1672,crops,Large Delivery Van,2411
Rice,3784,crops,Heavy Duty Pickup Truck,5711
Corn,3052,crops,Large Pickup Truck,3675
Goats,10959,livestock,10 wheeler Livestock Truck,12043
Pigs,9458,livestock,10 wheeler Livestock Truck,11105
Fruits,13067,crops,10 Wheeler Dump Truck,14132
Vegetables,8378,crops,Dropside Truck,10281
Leafy Greens,8968,perishable goods,Large Refrigerated Truck,10551
Goats,9562,livestock,10 wheeler Livestock Truck,10925
Chickens,2485,livestock,Medium Livestock Truck,4119
Pigs,1986,livestock,Medium Livestock Truck,3183
Frozen Fish,4581,perishable goods,Medium Refrigerated Truck,4906
Cows,10342,livestock,10 wheeler Livestock Truck,10643
Vegetables,2545,crops,Large Pickup Truck,3446
Meat,8136,perishable goods,Large Refrigerated Truck,9148
Pigs,710,livestock,Small Livestock Truck,1851
Goats,310,livestock,Small Livestock Truck,1609
Eggs,2050,perishable goods,Small Refrigerated Truck,3666
Milk,1848,perishable goods,Small Refrigerated Truck,3742
Leafy Greens,5668,perishable goods,Large Refrigerated Truck,6249
Chickens,7658,livestock,10 wheeler Livestock Truck,8832
Fresh Vegetables,6792,perishable goods,Large Refrigerated Truck,8666
Rice,4829,crops,Dropside Truck,6077
Milk,4258,perishable goods,Medium Refrigerated Truck,5644
Fresh Vegetables,5012,perishable goods,Large Refrigerated Truck,5342
Rice,449,crops,Tricycle,1912
Corn,14044,crops,10 Wheeler Dump Truck,14227
Fresh Vegetables,9241,perishable goods,10 wheeler Reefer Truck,10309
Rice,3221,crops,Elf Truck,4750
Fresh Vegetables,5491,perishable goods,Large Refrigerated Truck,6547
Pigs,6126,livestock,Large Livestock Truck,8094
Pigs,7586,livestock,10 wheeler Livestock Truck,9197
Vegetables,13505,crops,10 Wheeler Dump Truck,15043
Corn,7716,crops,Dropside Truck,9258
Goats,2663,livestock,Medium Livestock Truck,4379
Meat,9127,perishable goods,10 wheeler Reefer Truck,10375
Goats,10420,livestock,10 wheeler Livestock Truck,11141
Milk,11090,perishable goods,10 wheeler Reefer Truck,12418
Fresh Vegetables,7024,perishable goods,Large Refrigerated Truck,8413
Vegetables,13131,crops,10 Wheeler Dump Truck,13403
Frozen Fish,2232,perishable goods,Small Refrigerated Truck,2779
Fruits,6238,crops,Dropside Truck,8058
Rice,8309,crops,10 Wheeler Cargo Truck,8811
Pigs,1344,livestock,Small Livestock Truck,2787
Cows,11277,livestock,10 wheeler Livestock Truck,11795
Fruits,4497,crops,Dropside Truck,6045
Eggs,11689,perishable goods,10 wheeler Reefer Truck,12514
Fruits,3946,crops,Heavy Duty Pickup Truck,4345
Corn,12887,crops,10 Wheeler Dump Truck,14000
Vegetables,14733,crops,10 Wheeler Dump Truck,16169
Leafy Greens,2116,perishable goods,Small Refrigerated Truck,2278
Rice,4549,crops,Dropside Truck,5057
Meat,3759,perishable goods,Medium Refrigerated Truck,4190
Vegetables,14343,crops,10 Wheeler Dump Truck,15342
Cows,10027,livestock,10 wheeler Livestock Truck,10603
Milk,6624,perishable goods,Large Refrigerated Truck,8562
Cows,1716,livestock,Medium Livestock Truck,2397
Corn,14350,crops,10 Wheeler Dump Truck,15761
Goats,8172,livestock,10 wheeler Livestock Truck,10143
Frozen Fish,1704,perishable goods,Small Refrigerated Truck,3213
Leafy Greens,5960,perishable goods,Large Refrigerated Truck,7044
Rice,12479,crops,10 Wheeler Dump Truck,13003
Cows,3286,livestock,Large Livestock Truck,3862
Milk,7131,perishable goods,Large Refrigerated Truck,7978
Leafy Greens,737,perishable goods,Small Refrigerated Van,2654
Meat,11679,perishable goods,10 wheeler Reefer Truck,13498
Milk,784,perishable goods,Small Refrigerated Van,1907
Fresh Vegetables,1958,perishable goods,Small Refrigerated Truck,2590
Vegetables,10236,crops,10 Wheeler Cargo Truck,11455
Fruits,8707,crops,10 Wheeler Cargo Truck,9044
Cows,23,livestock,Small Livestock Truck,239
Rice,7543,crops,Dropside Truck,8909
Leafy Greens,10276,perishable goods,10 wheeler Reefer Truck,11083
Fruits,8610,crops,10 Wheeler Cargo Truck,9191
Leafy Greens,7206,perishable goods,Large Refrigerated Truck,8648
Fruits,11411,crops,10 Wheeler Dump Truck,11737
Chickens,5778,livestock,Large Livestock Truck,7056
Eggs,10485,perishable goods,10 wheeler Reefer Truck,11707
Fruits,785,crops,Small Pickup Truck,2709
Goats,6782,livestock,Large Livestock Truck,7986
Rice,11792,crops,10 Wheeler Cargo Truck,12705
Milk,11080,perishable goods,10 wheeler Reefer Truck,12674
Leafy Greens,9060,perishable goods,10 wheeler Reefer Truck,9462
Vegetables,4113,crops,Heavy Duty Pickup Truck,5053
Goats,11219,livestock,10 wheeler Livestock Truck,12805
Vegetables,689,crops,Small Multicab,1602
Milk,1205,perishable goods,Large Refrigerated Van,1715
Pigs,11943,livestock,10 wheeler Livestock Truck,12060
Meat,8335,perishable goods,Large Refrigerated Truck,8520
Pigs,5102,livestock,Large Livestock Truck,6379
Meat,2947,perishable goods,Small Refrigerated Truck,3263
Vegetables,5629,crops,Dropside Truck,6052
Cows,3247,livestock,Large Livestock Truck,4756
Leafy Greens,6429,perishable goods,Large Refrigerated Truck,6858
Fresh Vegetables,5249,perishable goods,Large Refrigerated Truck,7141
Rice,14105,crops,10 Wheeler Dump Truck,15267
Eggs,1462,perishable goods,Large Refrigerated Van,1970
Eggs,78,perishable goods,Small Refrigerated Van,1404
Rice,331,crops,Tricycle,744
Goats,9411,livestock,10 wheeler Livestock Truck,11319
Leafy Greens,9318,perishable goods,10 wheeler Reefer Truck,11227
Corn,2623,crops,Large Pickup Truck,3354
Fresh Vegetables,4814,perishable goods,Medium Refrigerated Truck,5527
Pigs,2225,livestock,Medium Livestock Truck,3322
Rice,13052,crops,10 Wheeler Dump Truck,14496
Fruits,3148,crops,Elf Truck,4433
Fresh Vegetables,4791,perishable goods,Medium Refrigerated Truck,6733
Eggs,2029,perishable goods,Small Refrigerated Truck,2995
Leafy Greens,1507,perishable goods,Small Refrigerated Truck,1878
Leafy Greens,3526,perishable goods,Medium Refrigerated Truck,5289
Chickens,4320,livestock,Large Livestock Truck,5341
Corn,893,crops,Small Pickup Truck,1831
Corn,347,crops,Tricycle,1848
Milk,5353,perishable goods,Large Refrigerated Truck,6120
Leafy Greens,3394,perishable goods,Medium Refrigerated Truck,4574
Vegetables,13781,crops,10 Wheeler Dump Truck,14567
Meat,1503,perishable goods,Small Refrigerated Truck,2967
Frozen Fish,213,perishable goods,Small Refrigerated Van,2200
Cows,1445,livestock,Small Livestock Truck,3313
Fresh Vegetables,2025,perishable goods,Small Refrigerated Truck,3805
Corn,6737,crops,Dropside Truck,6901
Cows,6083,livestock,Large Livestock Truck,7555
Eggs,6205,perishable goods,Large Refrigerated Truck,7179
Vegetables,2696,crops,Elf Truck,3009
Cows,9615,livestock,10 wheeler Livestock Truck,11103
Chickens,4590,livestock,Large Livestock Truck,5571
Pigs,5456,livestock,Large Livestock Truck,6816
Frozen Fish,11304,perishable goods,10 wheeler Reefer Truck,13283
Milk,8597,perishable goods,Large Refrigerated Truck,8929
Goats,5804,livestock,Large Livestock Truck,6186
Goats,8531,livestock,10 wheeler Livestock Truck,8787
Corn,5179,crops,Dropside Truck,5672
Goats,664,livestock,Small Livestock Truck,2558
Meat,11707,perishable goods,10 wheeler Reefer Truck,12506
Rice,11965,crops,10 Wheeler Dump Truck,12521
Fresh Vegetables,345,perishable goods,Small Refrigerated Van,2154
Frozen Fish,5806,perishable goods,Large Refrigerated Truck,6466
Meat,943,perishable goods,Medium Refrigerated Van,1076
Rice,11577,crops,10 Wheeler Dump Truck,12579
Vegetables,14824,crops,10 Wheeler Dump Truck,15625
Corn,11248,crops,10 Wheeler Cargo Truck,11987
Chickens,7564,livestock,10 wheeler Livestock Truck,9178
Frozen Fish,8938,perishable goods,Large Refrigerated Truck,9629
Corn,11003,crops,10 Wheeler Cargo Truck,12127
Fresh Vegetables,8379,perishable goods,Large Refrigerated Truck,10306
Chickens,5531,livestock,Large Livestock Truck,5881
Eggs,4005,perishable goods,Medium Refrigerated Truck,4514
Vegetables,14895,crops,10 Wheeler Dump Truck,15911
Fresh Vegetables,1760,perishable goods,Small Refrigerated Truck,2730
Leafy Greens,10394,perishable goods,10 wheeler Reefer Truck,10824
Milk,8303,perishable goods,Large Refrigerated Truck,9019
Corn,6885,crops,Dropside Truck,8098
Chickens,11610,livestock,10 wheeler Livestock Truck,12937
Meat,8667,perishable goods,Large Refrigerated Truck,10061
Eggs,4407,perishable goods,Medium Refrigerated Truck,6377
Rice,10103,crops,10 Wheeler Cargo Truck,10550
Pigs,5629,livestock,Large Livestock Truck,7191
Frozen Fish,10166,perishable goods,10 wheeler Reefer Truck,11408
Rice,394,crops,Tricycle,1139
Meat,2053,perishable goods,Small Refrigerated Truck,3317
Pigs,5978,livestock,Large Livestock Truck,6508
Frozen Fish,1488,perishable goods,Large Refrigerated Van,1591
Fresh Vegetables,3493,perishable goods,Medium Refrigerated Truck,4899
Cows,3712,livestock,Large Livestock Truck,5158
Leafy Greens,8783,perishable goods,Large Refrigerated Truck,10574
Leafy Greens,5343,perishable goods,Large Refrigerated Truck,7132
Leafy Greens,3053,perishable goods,Medium Refrigerated Truck,4105
Milk,9541,perishable goods,10 wheeler Reefer Truck,11369
Pigs,9767,livestock,10 wheeler Livestock Truck,11268
Eggs,6206,perishable goods,Large Refrigerated Truck,7551
Meat,5746,perishable goods,Large Refrigerated Truck,7251
Milk,10144,perishable goods,10 wheeler Reefer Truck,11552
Goats,4754,livestock,Large Livestock Truck,6268
Chickens,10338,livestock,10 wheeler Livestock Truck,11110
Meat,6736,perishable goods,Large Refrigerated Truck,8282
Goats,8673,livestock,10 wheeler Livestock Truck,9704
Meat,91,perishable goods,Small Refrigerated Van,994
Fruits,14152,crops,10 Wheeler Dump Truck,15659
Fresh Vegetables,10840,perishable goods,10 wheeler Reefer Truck,11863
Vegetables,6674,crops,Dropside Truck,7325
Fruits,498,crops,Tricycle,1003
Milk,6969,perishable goods,Large Refrigerated Truck,7811
Cows,9145,livestock,10 wheeler Livestock Truck,10404
Fruits,11217,crops,10 Wheeler Dump Truck,13199
Fresh Vegetables,10621,perishable goods,10 wheeler Reefer Truck,11539
Milk,11831,perishable goods,10 wheeler Reefer Truck,13635
Cows,7592,livestock,10 wheeler Livestock Truck,8323
Chickens,7573,livestock,10 wheeler Livestock Truck,8383
Fresh Vegetables,1288,perishable goods,Large Refrigerated Van,3102
Corn,3294,crops,Large Pickup Truck,3967
Fruits,8341,crops,Dropside Truck,9285
Vegetables,2265,crops,Elf Truck,3553
Rice,14307,crops,10 Wheeler Dump Truck,15496
Leafy Greens,3992,perishable goods,Medium Refrigerated Truck,4552
Frozen Fish,3312,perishable goods,Medium Refrigerated Truck,5191
Meat,8905,perishable goods,Large Refrigerated Truck,10615
Fresh Vegetables,8939,perishable goods,Large Refrigerated Truck,10862
Vegetables,2852,crops,Elf Truck,4258
Fresh Vegetables,2750,perishable goods,Small Refrigerated Truck,3504
Goats,2238,livestock,Medium Livestock Truck,3311
Eggs,5875,perishable goods,Large Refrigerated Truck,6764
Eggs,2983,perishable goods,Small Refrigerated Truck,3611
Meat,1588,perishable goods,Small Refrigerated Truck,3241
Corn,447,crops,Small Multicab,1644
Corn,5369,crops,Dropside Truck,6016
Pigs,193,livestock,Small Livestock Truck,1255
Leafy Greens,5856,perishable goods,Large Refrigerated Truck,6236
Chickens,8029,livestock,10 wheeler Livestock Truck,8914
Vegetables,10908,crops,10 Wheeler Cargo Truck,12634
Chickens,9259,livestock,10 wheeler Livestock Truck,10005
Leafy Greens,4706,perishable goods,Medium Refrigerated Truck,6201
Frozen Fish,8641,perishable goods,Large Refrigerated Truck,9161
Pigs,4928,livestock,Large Livestock Truck,5054
Frozen Fish,8892,perishable goods,Large Refrigerated Truck,9311
Cows,10647,livestock,10 wheeler Livestock Truck,11193
Chickens,3644,livestock,Large Livestock Truck,4822
Meat,3443,perishable goods,Medium Refrigerated Truck,5299
Pigs,9256,livestock,10 wheeler Livestock Truck,10872
Eggs,6410,perishable goods,Large Refrigerated Truck,7872
Fresh Vegetables,4756,perishable goods,Medium Refrigerated Truck,5760
Milk,4724,perishable goods,Medium Refrigerated Truck,5877
Rice,3583,crops,Heavy Duty Pickup Truck,4289
Chickens,5510,livestock,Large Livestock Truck,7431
Pigs,10542,livestock,10 wheeler Livestock Truck,12374
Fresh Vegetables,5339,perishable goods,Large Refrigerated Truck,6765
Chickens,4579,livestock,Large Livestock Truck,4792
Rice,5223,crops,Dropside Truck,6098
Milk,10816,perishable goods,10 wheeler Reefer Truck,10963
Eggs,1418,perishable goods,Large Refrigerated Van,3365
